PMID,Title of the Study,Mediation Method Used,Randomized Exposure,Causal Mediation,Examined Mediator-Outcome Linearity,Examined Exposure-Mediator Interaction,Covariates in Exposure-Mediator Model,Covariates in Exposure-Outcome Model,Covariates in Mediator-Outcome Model,Control for Baseline Mediator,Control for Baseline Outcome,Temporal Ordering Exposure Before Mediator,Temporal Ordering Mediator Before Outcome,Discussed Mediator Assumptions,Sensitivity Analysis to Assumption,Control for Other Post-Exposure Variables
24813803,ADHD and risky sexual behavior in adolescents: Conduct problems and substance use as mediators of risk,Bootstrapped mediation models,0,1,0,1,0,1,0,0,0,0,0,0,0,0
25451409,"Maintaining factors of posttraumatic stress symptoms following childbirth: A population-based, two-year follow-up study",Not mentioned,0,0,0,0,0,1,1,0,1,1,1,0,0,0
28843081,"Cumulative Childhood Trauma, Emotion Regulation, Dissociation, and Behavior Problems in School-Aged Sexual Abuse Victims","Mediation analyses were conducted using Mplus software, v.7.31, with emotion regulation and dissociation as sequential mediators.",0,1,0,0,0,0,0,0,0,0,1,0,0,0
27758837,"Mediation analysis of severity of needs, service performance and outcomes for patients with mental disorders",Structural equation modelling,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26924619,Emotional Intelligence deficits in schizophrenia: The impact of non-social cognition,"Preacher and Hayes, 2008",0,1,0,0,0,1,0,0,0,0,0,0,0,0
26888057,Reduced Inhibitory Control Mediates the Relationship Between Cortical Thickness in the Right Superior Frontal Gyrus and Body Mass Index,PROCESS function in SPSS,0,1,1,0,0,1,1,0,0,0,0,0,0,1
26679762,Low levels of posttraumatic stress symptoms and psychiatric symptomatology among third-generation Holocaust survivors whose fathers were war veterans,Moderated mediation analysis,0,0,0,1,1,1,1,0,0,1,1,0,0,0
28711798,Psychotic-like experiences and happiness in the English general population,khb (Karlson Holm Breen) command in Stata,0,0,0,0,1,1,1,0,0,0,0,0,0,0
25083601,Coping strategies as mediators of the effect of the START (strategies for RelaTives) intervention on psychological morbidity for family carers of people with dementia in a randomised controlled trial,MacKinnon and colleagues' joint significance test,1,1,0,1,1,1,1,1,1,1,1,0,1,0
29522958,Post-traumatic stress symptoms are associated with physical multimorbidity: findings from the Adult Psychiatric Morbidity Survey 2007,Karlson Holm Breen (khb) method,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27826261,Inhibition Underlies the Effect of High Need for Closure on Cultural Closed-Mindedness under Mortality Salience,Moderated mediation analysis,1,1,0,1,0,0,0,1,0,1,1,0,0,0
27266474,Depressive and anxiety disorders and short leukocyte telomere length: mediating effects of metabolic stress and lifestyle factors,Preacher and Hayes's SPSS macro,0,0,0,0,1,1,1,0,0,0,0,0,0,0
29312090,Child/Adolescent's ADHD and Parenting Stress: The Mediating Role of Family Impact and Conduct Problems,Bootstrap mediation analyses,0,1,0,0,1,1,1,0,0,0,0,0,0,0
27576609,Anticholinergic burden in schizophrenia and ability to benefit from psychosocial treatment programmes: a 3-year prospective cohort study,SPSS PROCESS macro model 4,0,1,0,0,1,1,1,0,1,1,1,0,0,1
22998852,The relationship between happiness and intelligent quotient: the contribution of socio-economic and clinical factors,Baron & Kenny (1986) approach,0,1,0,0,0,1,0,0,0,0,0,1,0,0
26971049,Brain regions related to impulsivity mediate the effects of early adversity on antisocial behavior,PROCESS,0,1,0,0,1,1,1,0,0,1,1,0,0,0
28288403,PTSD symptoms and suicide risk in veterans: Serial indirect effects via depression and anger,Serial mediation analysis,0,0,1,0,1,1,1,0,0,0,0,0,0,0
27176661,Processes of Change in Preventing Alcohol Exposed Pregnancy: A Mediation Analysis,Path analysis,1,1,0,0,0,1,0,0,1,1,1,0,0,0
29442575,"The Gender-Equality Paradox in Science, Technology, Engineering, and Mathematics Education","Bootstrap method with 5,000 iterations",0,1,0,0,0,0,0,0,0,0,0,1,1,0
23002955,Potential Negative Effects of Perspective-Taking Efforts in the Context of Close Relationships: Increased Bias and Reduced Satisfaction,Bootstrapping procedures,1,1,0,0,1,1,1,0,0,1,1,0,0,0
29245091,Specificity in mediated pathways by anxiety symptoms linking adolescent stress profiles to depressive symptoms: Results of a moderated mediation approach,Moderated mediation,0,0,0,0,1,1,0,0,0,0,0,0,0,0
27458402,Holding Back the Tears: Individual Differences in Adult Crying Proneness Reflect Attachment Orientation and Attitudes to Crying,SPSS PROCESS,0,0,0,0,1,1,1,0,0,0,0,0,0,0
24433246,Sources of Individual Differences in Children's Understanding of Fractions,Mediation analysis following Baron and Kenny (1986) and using the Preacher and Hayes (2008) SPSS macro,0,0,0,0,1,1,1,0,0,1,1,0,0,0
28113121,Irritability and internalizing symptoms: Modeling the mediating role of emotion regulation,Bootstrapping,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27893238,Does Anger Regulation Mediate the Discrimination-Mental Health Link Among Mexican-Origin Adolescents? A Longitudinal Mediation Analysis Using Multilevel Modeling,Multilevel Modeling,0,1,0,0,0,0,0,0,0,1,1,0,0,0
27018937,Emotion regulation mediates the effect of childhood trauma on depression,Bootstrapping-enhanced mediation analyses,0,0,1,0,1,1,0,0,0,0,0,0,0,0
28024223,"Relationships between self-reported childhood traumatic experiences, attachment style, neuroticism and features of borderline personality disorders in patients with mood disorders",Bootstrapping method with bias-corrected confidence estimates,0,1,0,0,0,1,1,0,0,0,0,0,0,0
27609242,Patient Expectancy as a Mediator of Placebo Effects in Antidepressant Clinical Trials,Structural Equation Modeling (SEM),1,1,0,0,1,1,1,0,1,1,1,0,0,0
25101038,"The relation between children's constructive play activities, spatial ability, and mathematical word problem-solving performance: a mediation analysis in sixth-grade students",Bootstrap methods,0,0,0,0,1,1,0,0,0,0,0,0,0,0
27559624,Subtle Perceptions of Male Sexual Orientation Influence Occupational Opportunities,Path analysis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25278928,Personality moderates the links of social identity with work motivation and job searching,Structural Equation Modeling (SEM),0,0,0,1,0,0,0,0,0,0,0,0,0,0
28966604,Decisions for Others Are Less Risk-Averse in the Gain Frame and Less Risk-Seeking in the Loss Frame Than Decisions for the Self,Judd et al. (2001) method for testing mediation in within-subject designs,0,1,0,0,0,0,0,0,0,1,1,0,0,0
25741308,Monitoring supports performance in a dual-task paradigm involving a risky decision-making task and a working memory task,Structural Equation Modeling (SEM),0,1,0,0,0,0,0,0,0,0,0,0,0,0
26727407,A Multisite Randomized Trial of Normative Feedback for Heavy Drinking: Social Comparison Versus Social Comparison Plus Correction of Normative Misperceptions,PROCESS,1,1,0,0,0,1,1,0,1,1,1,0,0,0
27640523,Emotional intelligence and non-social cognition in schizophrenia and bipolar I disorder,Preacher & Hayes (2008),0,1,0,0,0,1,0,0,0,0,0,0,0,0
26379582,Family identification: a beneficial process for young adults who grow up in homes affected by parental intimate partner violence,PROCESS model 4,0,0,0,0,1,1,1,0,0,0,0,0,0,0
28189964,The relationship between childhood trauma and the severity of adulthood depression and anxiety symptoms in a clinical sample: the mediating role of cognitive emotion regulation strategies,Structural Equation Modeling (SEM),0,0,0,0,1,1,0,0,0,0,0,0,0,0
28824492,"Associations between the Application of Signature Character Strengths, Health and Well-being of Health Professionals",SPSS macro PROCESS by Preacher and Hayes,0,0,0,0,1,1,1,0,0,0,0,0,0,0
26648878,The Role of Environmental Factors on Sleep Patterns and School Performance in Adolescents,Mediation analysis,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29504781,A Mediation Analysis of Treatment Processes in the UK Alcohol Treatment Trial,"Mediation framework (Baron & Kenny, 1986; Sobel, 1982; Bootstrapping)",1,1,0,0,0,1,1,0,1,1,1,0,0,0
29173744,A Neurobehavioral Mechanism Linking Behaviorally Inhibited Temperament and Later Adolescent Social Anxiety,Serial mediation model,0,1,0,0,0,0,0,0,0,1,1,0,0,0
27893259,Adolescent Conscientiousness Predicts Lower Lifetime Unemployment,khb procedure,0,1,0,0,1,1,1,0,0,1,1,0,0,0
28843079,Investigating the Role of Hopelessness in the Relationship between PTSD Symptom Change and Suicidality,Statistical mediation,1,0,0,1,0,1,1,0,1,0,0,0,0,0
24022649,Talking to Children Matters: Early Language Experience Strengthens Processing and Builds Vocabulary,Mediation analysis,0,1,0,0,1,1,1,0,0,1,1,0,0,0
28485257,Neurocognitive deficits in schizophrenia. Are we making mountains out of molehills?,Hayes' process procedure,0,1,0,0,0,0,0,1,0,1,1,0,0,0
28377740,The Pleasure Evoked by Sad Music Is Mediated by Feelings of Being Moved,Multilevel mediation analysis,0,1,0,0,0,0,0,0,0,1,1,0,0,0
28503158,Image Feature Types and Their Predictions of Aesthetic Preference and Naturalness,PROCESS Macro v2.15 for SPSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26407493,Subthreshold Depression and Regional Brain Volumes in Young Community Adolescents,Causal mediation analysis,0,1,0,1,1,1,1,0,0,1,1,0,0,0
29406247,"Tinnitus, depression, and suicidal ideation in adults: A nationally representative general population sample",Mediation analysis method proposed by Hayes and Preacher,0,1,0,0,1,1,1,0,0,0,0,0,0,0
27341422,Mechanisms of behavioral activation for late adolescents: Positive reinforcement mediate the relationship between activation and depressive symptoms from pre-treatment to post-treatment,Bootstrapping method,0,1,0,0,0,0,0,0,0,1,1,0,0,0
28691836,The Cost of Empathy: Parent-Adolescent Conflict Predicts Emotion Dysregulation for Highly Empathic Youth,Moderated mediation analyses,0,1,0,1,0,0,0,0,0,1,1,0,0,0
29941294,Psychiatric disability as mediator of the neurocognition-functioning link in schizophrenia spectrum disorders: SEM analysis using the Evaluation of Cognitive Processes involved in Disability in Schizophrenia (ECPDS) scale,Structural Equation Modeling (SEM),0,1,0,0,1,1,0,0,0,0,0,0,0,0
25217757,Future Disposition and Suicidal Ideation: Mediation by Depressive Symptom Clusters,Bootstrapping,0,0,0,0,1,1,1,0,0,0,0,0,0,0
27199857,"Comparing the Effectiveness of Individual Coaching, Self-Coaching, and Group Training: How Leadership Makes the Difference","PROCESS (Hayes, 2013, Model 6)",1,1,0,0,0,0,0,0,1,1,1,0,0,0
