PMID,Title of the Study,Mediation Method Used,Randomized Exposure,Causal Mediation,Examined Mediator-Outcome Linearity,Examined Exposure-Mediator Interaction,Covariates in Exposure-Mediator Model,Covariates in Exposure-Outcome Model,Covariates in Mediator-Outcome Model,Control for Baseline Mediator,Control for Baseline Outcome,Temporal Ordering Exposure Before Mediator,Temporal Ordering Mediator Before Outcome,Discussed Mediator Assumptions,Sensitivity Analysis to Assumption,Control for Other Post-Exposure Variables
24813803,ADHD and risky sexual behavior in adolescents: Conduct problems and substance use as mediators of risk,Bootstrapped mediation models,"0 ## The study did not involve randomization of ADHD symptoms, which were naturally occurring in the sample.",1 ## The study aimed to identify causal pathways by examining whether conduct problems and substance use mediated the relationship between ADHD symptoms and risky sexual behavior.,0 ## The article does not explicitly mention testing for linearity in the mediator-outcome relationship.,"1 ## The study conducted follow-up analyses to examine the impact of elevated comorbid conduct problems on the associations among ADHD symptoms, substance use, and risky sexual behavior.",0 ## The article does not specify the inclusion of covariates in the exposure-mediator model.,1 ## Recruitment site was controlled for in the models examining the relationship between ADHD symptoms and risky sexual behavior.,1 ## Recruitment site was controlled for in the mediation models.,"0 ## The study did not control for baseline levels of the mediator, as it was cross-sectional.","0 ## The study did not control for baseline levels of the outcome, as it was cross-sectional.",0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,0 ## The article does not explicitly discuss assumptions related to mediation analysis.,0 ## The article does not mention conducting sensitivity analyses to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
25451409,"Maintaining factors of posttraumatic stress symptoms following childbirth: A population-based, two-year follow-up study",Baron and Kenny method,"0 ## The study is observational and part of a cohort study, not a randomized controlled trial.",1 ## The study uses mediation analysis to explore the role of insomnia as a mediator between early and later PTSD symptoms.,0 ## The article does not explicitly discuss testing for linearity in the mediator-outcome relationship.,0 ## There is no mention of testing for interaction between exposure and mediator.,0 ## The article does not specify covariates used in the exposure-mediator model.,1 ## The study adjusts for PTSD symptoms at 8 weeks postpartum in the regression models.,1 ## The study adjusts for PTSD symptoms at 8 weeks postpartum when examining the mediator-outcome relationship.,0 ## The study does not mention controlling for baseline levels of the mediator.,"1 ## The study controls for PTSD symptoms at 8 weeks postpartum, which serves as a baseline for the outcome.","1 ## The study measures insomnia at 8 weeks postpartum, after the initial PTSD symptoms.","1 ## Insomnia is measured at 8 weeks postpartum, before the PTSD symptoms at 2 years postpartum.",0 ## The article does not discuss assumptions related to the mediation analysis.,0 ## There is no mention of sensitivity analysis to test assumptions in the mediation analysis.,0 ## The study does not mention controlling for other post-exposure variables beyond those specified.
28843081,"Cumulative Childhood Trauma, Emotion Regulation, Dissociation, and Behavior Problems in School-Aged Sexual Abuse Victims",Bootstrapping method,"0 ## The study did not use a randomized design; it was observational, focusing on naturally occurring instances of childhood trauma.",1 ## The study aimed to identify causal pathways by examining emotion regulation and dissociation as mediators between cumulative childhood trauma and behavior problems.,0 ## The article does not explicitly discuss testing for linearity in the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator in the analysis.,0 ## The study does not mention including covariates in the exposure-mediator model.,0 ## The study does not mention including covariates in the exposure-outcome model.,0 ## The study does not mention including covariates in the mediator-outcome model.,"0 ## The study did not control for baseline levels of the mediator, as both mediators were assessed at the same time point.","0 ## The study did not control for baseline levels of the outcome, as behavior problems were assessed at a later time point without baseline control.","1 ## The study assumes that cumulative childhood trauma precedes the mediators, as trauma history was assessed before emotion regulation and dissociation.","1 ## The study assessed mediators at Time 1 and outcomes at Time 2, suggesting a temporal order.","1 ## The study discusses assumptions related to the mediation model, particularly the sequence of emotion regulation and dissociation.",0 ## The study does not report conducting sensitivity analyses to test the robustness of the mediation assumptions.,
27758837,"Mediation analysis of severity of needs, service performance and outcomes for patients with mental disorders",Structural equation modelling,0 ## The study used a cross-sectional design and did not mention randomization of exposure.,0 ## The study used structural equation modeling to explore mediation but did not establish causality due to its cross-sectional nature.,0 ## The article does not explicitly discuss examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction between exposure and mediator in the analysis.,0 ## The study does not mention including covariates in the exposure-mediator model.,0 ## The study does not mention including covariates in the exposure-outcome model.,0 ## The study does not mention including covariates in the mediator-outcome model.,0 ## The study does not mention controlling for baseline mediator levels.,0 ## The study does not mention controlling for baseline outcome levels.,0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,0 ## The study does not explicitly discuss assumptions related to the mediator.,0 ## The study does not mention conducting sensitivity analyses related to mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
26924619,Emotional Intelligence deficits in schizophrenia: The impact of non-social cognition,Preacher and Hayes,"0 ## The study involved schizophrenia patients and healthy controls, but there was no mention of randomization of exposure.",1 ## The study conducted a mediation analysis to explore the mediating effect of non-social cognition on emotional intelligence differences between groups.,0 ## The article does not mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction between exposure and mediator.,0 ## The article does not specify covariates in the exposure-mediator model.,1 ## The study adjusted for education and BACS composite score in the exposure-outcome model.,0 ## The article does not mention covariates in the mediator-outcome model.,0 ## There is no indication that baseline mediator levels were controlled for.,0 ## The study does not mention controlling for baseline outcome levels.,0 ## The study does not explicitly discuss the temporal ordering of exposure before the mediator.,0 ## The study does not explicitly discuss the temporal ordering of the mediator before the outcome.,0 ## The article does not discuss assumptions related to the mediator.,0 ## There is no mention of conducting a sensitivity analysis to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
26888057,Reduced Inhibitory Control Mediates the Relationship Between Cortical Thickness in the Right Superior Frontal Gyrus and Body Mass Index,PROCESS function in SPSS,"0 ## The study did not involve randomization of exposure; it was observational, examining natural variations in cortical thickness and BMI.",1 ## The study explicitly tested a mediation model to determine if inhibitory control mediated the relationship between cortical thickness and BMI.,"1 ## The study used linear regression models, which assume linear relationships between variables.",0 ## There is no mention of testing for interaction effects between cortical thickness and inhibitory control.,0 ## The study does not mention including covariates in the model examining the relationship between cortical thickness and inhibitory control.,1 ## Age and sex were included as covariates in the model predicting BMI from cortical thickness.,"1 ## The study controlled for word reading and color naming reaction times, and trauma symptoms in the mediation analysis.","0 ## The study did not control for baseline levels of inhibitory control, as it was cross-sectional.","0 ## The study did not control for baseline BMI, as it was cross-sectional.","0 ## The study was cross-sectional, so temporal ordering of cortical thickness before inhibitory control was not established.","0 ## The study was cross-sectional, so temporal ordering of inhibitory control before BMI was not established.",0 ## The study did not explicitly discuss assumptions underlying the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test the robustness of the mediation findings.,1 ## The study controlled for potential confounders like processing speed and trauma symptoms in the mediation analysis.
26679762,Low levels of posttraumatic stress symptoms and psychiatric symptomatology among third-generation Holocaust survivors whose fathers were war veterans,Moderated mediation analysis,"0 ## The study is observational and involves a sample of Israeli father-child dyads, not a randomized controlled trial.",1 ## The study uses moderated mediation analysis to explore the mediating role of anxiety sensitivity in the relationship between Holocaust background and psychiatric outcomes.,0 ## The article does not explicitly discuss the linearity of the mediator-outcome relationship.,1 ## The study examines the interaction between Holocaust background and group (ex-POWs vs. veterans' offspring) in relation to anxiety sensitivity.,0 ## The article does not mention specific covariates used in the exposure-mediator model.,1 ## The study controls for level of education and the sum of negative life events in the analysis.,1 ## The analysis includes covariates such as level of education and negative life events.,0 ## There is no mention of controlling for baseline levels of the mediator.,0 ## The study does not control for baseline levels of the outcome variable.,"1 ## The study design implies temporal ordering, with Holocaust background as the exposure and anxiety sensitivity as the mediator.",1 ## The study design suggests that anxiety sensitivity (mediator) is assessed before the psychiatric outcomes.,0 ## The article does not explicitly discuss assumptions related to the mediator.,0 ## There is no mention of sensitivity analysis to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
28711798,Psychotic-like experiences and happiness in the English general population,khb (Karlson Holm Breen) command in Stata,"0 ## The study used a cross-sectional design with observational data, not a randomized controlled trial.",0 ## The study performed mediation analysis but did not establish causality due to its cross-sectional nature.,0 ## The article does not mention examining the linearity between mediators and the outcome.,0 ## There is no mention of testing for interaction between exposure and mediators.,0 ## The article does not specify covariates in the exposure-mediator model.,1 ## The study adjusted for sociodemographic factors and stressful life events in the exposure-outcome model.,"1 ## The mediation analysis controlled for sex, age, ethnicity, education, income, marital status, and stressful life events.",0 ## The study did not control for baseline levels of mediators as it used cross-sectional data.,0 ## The study did not control for baseline levels of the outcome due to its cross-sectional design.,0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,0 ## The article does not discuss assumptions specific to mediation analysis.,0 ## There is no mention of sensitivity analysis related to mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
25083601,Coping strategies as mediators of the effect of the START (strategies for RelaTives) intervention on psychological morbidity for family carers of people with dementia in a randomised controlled trial,MacKinnon and colleagues' joint significance test,1 ## The study involved randomizing family carers to either the START intervention or treatment-as-usual (TAU).,1 ## The study aimed to test whether emotion-focused coping mediated the effects of the START intervention on psychological morbidity.,"1 ## The study used regression analyses to examine the relationship between coping strategies and psychological morbidity, assuming linearity.","1 ## The study tested for moderated mediation, which involves examining the interaction between baseline psychological morbidity and the effect of the intervention on coping.","1 ## The study included covariates such as study site, baseline HADS-T score, baseline coping, demographics, and stressors in the regression models.",1 ## The study controlled for covariates like baseline HADS-T score and other demographic and stressor variables in the analysis of treatment effects on psychological morbidity.,1 ## The analysis included covariates such as baseline HADS-T score and other relevant variables when examining the effect of coping on psychological morbidity.,1 ## The study controlled for baseline coping strategies in the mediation analysis.,1 ## Baseline HADS-T scores were included as covariates in the analysis.,1 ## The intervention (exposure) was administered before measuring changes in coping strategies (mediator) at 4 months.,"1 ## Coping strategies were measured at 4 months, and psychological morbidity was assessed at 8 months, establishing temporal order.",0 ## The article did not explicitly discuss the assumptions underlying the mediation analysis.,,
29522958,Post-traumatic stress symptoms are associated with physical multimorbidity: findings from the Adult Psychiatric Morbidity Survey 2007,Karlson Holm Breen (khb) method,"0 ## The study is observational and uses cross-sectional data from a survey, not a randomized controlled trial.",0 ## The study uses mediation analysis to explore associations but does not establish causality due to its cross-sectional design.,0 ## The article does not explicitly discuss testing for linearity in the mediator-outcome relationship.,0 ## There is no mention of testing for interaction between exposure and mediator in the mediation analysis.,0 ## The article does not specify a separate exposure-mediator model with covariates.,"1 ## The logistic regression models for the association between PTSD and multimorbidity are adjusted for covariates like age, sex, ethnicity, education, income, and lifetime occurrence of a traumatic event.",0 ## The article does not specify a separate mediator-outcome model with covariates.,"0 ## The study does not control for baseline levels of the mediator, as it is cross-sectional.","0 ## The study does not control for baseline levels of the outcome, as it is cross-sectional.",0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,0 ## The article does not discuss the assumptions underlying the mediation analysis in detail.,0 ## There is no mention of sensitivity analysis to test the robustness of the mediation assumptions.,0 ## The study does not control for other post
27826261,Inhibition Underlies the Effect of High Need for Closure on Cultural Closed-Mindedness under Mortality Salience,Moderated mediation analysis,"1 ## The study involved random assignment of participants to mortality salience (MS) or control conditions, which is a form of randomized exposure.",1 ## The study explicitly tested for mediation by examining whether BIS activity mediated the effect of MS on cultural closed-mindedness.,0 ## The article does not mention examining the linearity of the mediator-outcome relationship.,1 ## The study tested for interaction effects between mortality salience and need for closure on BIS activity.,0 ## The article does not mention including covariates in the exposure-mediator model.,0 ## The article does not mention including covariates in the exposure-outcome model.,0 ## The article does not mention including covariates in the mediator-outcome model.,1 ## The study controlled for baseline line bisection task (LBT) measures in analyses involving BIS activity.,0 ## The article does not mention controlling for baseline measures of the outcome variable.,1 ## The study design ensured that the exposure (MS) occurred before measuring the mediator (BIS activity).,1 ## The study measured the mediator (BIS activity) before assessing the outcome (cultural closed-mindedness).,0 ## The article does not explicitly discuss assumptions related to the mediation analysis.,0 ## The article does not mention conducting sensitivity analyses to test the robustness of mediation assumptions.,0 ## The article does not mention controlling for other post-exposure variables.
27266474,Depressive and anxiety disorders and short leukocyte telomere length: mediating effects of metabolic stress and lifestyle factors,Preacher and Hayes's SPSS macro,"0 ## The study is observational and uses cross-sectional data from the NESDA study, not a randomized controlled trial.",0 ## The study uses mediation analysis to explore associations but does not establish causality due to its cross-sectional design.,"1 ## The study mentions using regression analyses, which typically assume linear relationships.",0 ## There is no mention of testing for interaction effects between exposure and mediators.,"1 ## The study controls for age, sex, ancestry, and number of somatic diseases in its analyses.","1 ## The same covariates (age, sex, ancestry, and number of somatic diseases) are controlled for in the exposure-outcome model.",1 ## The study controls for the same covariates in the mediator-outcome model.,"0 ## The study does not mention controlling for baseline levels of mediators, as it is cross-sectional.",0 ## The study does not control for baseline outcomes due to its cross-sectional nature.,0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,"1 ## The study discusses assumptions related to the mediation analysis, such as the need for future studies to confirm findings.",0 ## There is no mention of conducting sensitivity analyses to test the robustness of assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
