source,pmid_number,reviewer_1_2,reviewer_2_3,pdf_in_folder,link_to_paper,authors,title,journal,issue_number_page_numbers,link_to_paper_2,reviewer_1_11,reviewer_2_12,data_available,sample_description,sample_size,clustering,clustering_dealt_with,exposure_s,mediator_s,outcome_s,exposure_randomized,name_of_mediation_method,citation_for_mediation_method,causal_mediation_yes_no,if_causal_which_estimand_1_controlled_direct_and_indirect_2_natural_direct_and_indirect_effects_or_3_stochastic_randomized_interventional_direct_and_indirect_effects,effects_of_interst_nie_nde_etc,if_baron_kenny_examine_whether_no_interaction_b_w_tx_and_mediator_on_outcome,if_b_k_examine_linear_relationship_b_w_mediator_and_outcome,covariates_in_exposure_mediator_model,covariates_in_mediator_outcome_model,covariates_in_exposure_outcome_model,any_justification_for_covariates,baseline_value_of_mediator_adjusted_for,baseline_value_of_outcome_adjusted_for,temporal_ordering_of_exposure_before_mediator_yes_no,temporal_ordering_of_mediator_before_outcome_yes_no,discussion_of_mediation_assumptions_yes_no,sensitivity_analyes_to_assumptions_yes_no,does_model_control_for_other_post_exposure_variables_yes_no,reviewer,reviewer_1,reviewer_2,x40
1,22998852,Adam,Ian,Y,https://www-cambridge-org.ezp.welch.jhmi.edu/core/journals/psychological-medicine/article/relationship-between-happiness-and-intelligent-quotient-the-contribution-of-socioeconomic-and-clinical-factors/852640AC984DB7EC623D9D2C1A2D0A5A,Ali et al.,The relationship between happiness and intelligent quotient: the contribution of socio-economic and clinical factors,Psychological Medicine,"43, 1303–1312",NA,Adam,NA,no,people 16 years or older in private households,6870,no,na,IQ,socio-economic and clinical factors,Happiness level,No,Baron & Kenny,"Yes, B & K 1986 in references",NA,NA,NA,no,no,only state for exposure/outcome,social and clinical variables,"age, gender, ethnicity",previous literature on IQ,no,no,no,no,yes,no,no,A,NA,NA,NA
1,23527848,Adam,Ian,N,http://eds.b.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=534ed486-5c86-42e9-bbe8-64fbc12efb27%40pdc-v-sessmgr01&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2013-10249-001&db=pdh,NA,"Diversity Policy, Social Dominance, and Intergroup Relations: Predicting Prejudice in Changing Social and Political Contexts",Journal of Personality and Social Psychology,"Vol 104, Issue 9, pg 941-958","https://findit-library-jhu-edu.ezp.welch.jhmi.edu/resolve?ID=doi:10.1037/a0032069&genre=article&atitle=Diversity%20Policy,%20Social%20Dominance,%20and%20Intergroup%20Relations:%20Predicting%20Prejudice%20in%20Changing%20Social%20and%20Political%20Contexts.&title=Journal%20of%20Personality%20&%20Social%20Psychology&issn=00223514&isbn=&volume=104&issue=6&date=20130601&aulast=Guimond%2C%20Serge&spage=941&pages=941-958&sid=EBSCO:Business%20Source%20Ultimate:87784853",Adam,NA,no,"University students from Germany, U.K.,US and Canada",1232,seems like it?,"not directly, but they did analyze each country separately",social dominace orientation,multicultural and assimilation view points,levels of prejudice,no,"B & K, and bootstrap","not directly, but does mention Preacher & Hayes 2008",no,NA,indirect,no,no,hard to tell what model they fit for what numbers,none,"hard to tell, but adjusted some social norm variables to account for cultural differences when accessing prejudice",yes,no,no,no,no,NA,no,"Yes, they control for each contry's pro-diversity policy",A,NA,NA,NA
1,23815233,Adam,Ian,N,http://eds.b.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=2950530e-f872-42b8-a3e1-d8a1e999c365%40pdc-v-sessmgr04&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2013-22759-001&db=pdh,NA,Merely Opting Out of a Public Good Is Moralized: An Error Management Approach to Cooperation,Journal of Personality and Social Psychology,"Vol 105, , No 4. 621-638",https://findit-library-jhu-edu.ezp.welch.jhmi.edu/resolve?ID=doi:10.1037/a0033495&genre=article&atitle=Merely%20Opting%20Out%20of%20a%20Public%20Good%20Is%20Moralized:%20An%20Error%20Management%20Approach%20to%20Cooperation.&title=Journal%20of%20Personality%20&%20Social%20Psychology&issn=00223514&isbn=&volume=105&issue=4&date=20131001&aulast=Delton%2C%20Andrew%20W.&spage=621&pages=621-638&sid=EBSCO:Academic%20Search%20Ultimate:90281498,NA,NA,no,Somewhat of a meta analysis where researchers studied participants across 9 studies from a nationally representative study of the US population. Each study had it's own mediation analysis,1000,no,na,"manipulation values (valuation, cost, monitoring, or benefits)",perception of likelihood on free riding,preventive moralization (moral wrongness and anger),no,bootstrap,Preacher and Hayes (2008),NA,NA,indirect,no,no,"They used age, sex and income in all bootstrap analyses but doesn't list explicit exposure/mediation model","They used age, sex and income in all bootstrap analyses but doesn't list explicit mediation/outcome model","they used demographic variables age, income and sex",yes,no,no,no,no,yes,no,no,A,NA,NA,NA
1,24022649,Adam,Ian,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5510534/,"Weisleder A, & Fernald, A.",Talking to children matters: Early language experience strengthens processing and builds vocabulary,Psychological Science,"24, 2143-2152",NA,Adam,NA,no,"Spanish-learning infants (19 F, 10 M); 19 - 24 months",29,no,na,Speech to infants,processing efficiency,language processing and vocabulary learning,no,B & K,"yes, Preacher and Hayes 2004",NA,NA,NA,no,no,no,no,controlled for child-directed speech,SES,no,no,no,no,no,no,no,A,NA,NA,NA
1,24294875,Adam,Kara,N,http://eds.b.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=d75d828c-b648-4a7c-ac2d-6a700f2a242b%40sessionmgr103&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2013-42325-001&db=pdh,Robinson-Cimpian et al.,Teachers' perceptions of students' mathematics proficiency may exacerbate early gender gaps in achievement,Developmental Psychology,"Vol. 50, No. 4, 1262-1281",NA,Adam,NA,no,ECLS-K data; a nationally representative dataset on kindergarteners,21240,no,na,gender,Teacher's perception of student's math ability,Long-term mathematical ability,no,B & K,"yes,  (Bullock et al., 2008, 2010; Bullock &
Ha, 2011; Imai et al., 2011; Judd & Kenny, 1981; MacKinnon,
2008; Sobel, 2009).    This is mainly for discussing mediation and not necessarily and source for justifying their mediation",no,NA,indirect,no,no,no,no,"prior achievement, race, SES, age, teachers’ ratings of behavior and approaches to learning",yes,no,no,no,no,yes,no,no,A,NA,NA,NA
1,24767017,Adam,Kelly,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032714000792/pdfft?md5=b7c4c778e94411f292efc5cc2c938ae5&pid=1-s2.0-S0165032714000792-main.pdf,Lee et al,Resilience buffers the impact of traumatic events on the development of PTSD symptoms in firefighters,Journal of Affective Disorders,"162, 128-133",NA,Adam,NA,no,Korean firefighters,552,yes,yes,Traumatic stress,several dealing with stress and resilience,PTSD,no,Moderated mediation analyses in SPSS,yes (Hayes 2013),no,NA,"direct, indirect",no,no,no,no,no,yes,no,no,no,no,no,no,no,A,NA,NA,NA
1,25031222,Adam,Ian,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC4332941/,Freeman et al.,How Cannabis Causes Paranoia: Using the Intravenous Administration of ∆9 -Tetrahydrocannabinol (THC) to Identify Key Cognitive Mechanisms Leading to Paranoia,Schizophrenia Bulletin,"41,2,391-399",NA,Adam,NA,no,individuals with paranoid ideation,121,no,na,one of three treatment groups (THC),"factors causing paranoia (anxiety, depression)",Paranoia,yes,B & K,"yes, B & K 1986 in references",no,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,A,NA,NA,NA
1,25039961,Adam,Ian,Y,https://onlinelibrary-wiley-com.ezp.welch.jhmi.edu/doi/epdf/10.1111/jcpp.12291,Pickles et al.,Treatment mechanism in the MRC preschool autismcommunication trial: implications for study designand parent-focussed therapy for children,Journal of Child Psychology and Psychiatry,"56,2,162-170",NA,Adam,NA,no,Children with core autism aged 2-4 years,152,yes,yes,Randomized groups of varying parent to child interaction,Parent behavior,Autism Diagnostic Observation Schedule-Generic algorithm score (ADOS-G).,Yes,B & K,yes (B & K 1986),no,NA,"direct, indirect",no,yes,paper describes fitting multiple models for mediation analysis but not whats included,no,no,yes,yes,no,no,no,yes,no,no,A,NA,NA,NA
1,25101038,Adam,Jeannie,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC4102248/,Oostermeijer et al.,"The relation between children’s constructive play activities, spatial ability, and mathematical word problem-solving performance: a mediation analysis in sixth-grade students",Frontiers in Psychology,5782,NA,Adam,NA,no,Dutch sixth grade elementary school children,128,yes,no,constructive play,spatial ability,math problem solving skills,no,bootstrap method,yes (Hayes 2009),no,NA,indirect,no,no,no,details provided in table 2; sex included,Provides details of model in table 2; sex included,yes,no,no,no,no,some,no,no,A,NA,NA,NA
1,25192244,Adam,Ian,Y,https://www-cambridge-org.ezp.welch.jhmi.edu/core/journals/psychological-medicine/article/neurobehavioral-account-for-individual-differences-in-resilience-to-chronic-military-stress/6AD81B3D29185D2E658F37286BBBAECE,Lin et al.,A neurobehavioral account for individual differences in resilience to chronic military stress,Psychological Medicine,"45,5,1011-1023",NA,Adam,NA,no,healthy combat soldiers undergoing intensive military training,55,no,na,Military events,Hippocampus activity,PTSD,no,bootstrap in SPSS,Preacher and Hayes (2008),no,NA,indirect,no,no,no,no,no,not really,no,no,yes,no,no,no,no,A,NA,NA,NA
